,,,insample,outOfSample,PnL,PPN
BTC,5e-07,2022-08-18,0.07837892919044731,0.07809528906941221,335.0736505220087,0.00011965484190618877
BTC,5e-07,2022-08-19,0.07989712219809486,-0.029188524033399554,295.220180715815,8.838146368986003e-05
BTC,5e-07,2022-08-20,0.04937809231933643,0.07640956274699573,443.027193006742,0.0001959913112947988
BTC,5e-07,2022-08-21,0.050983318286141444,-0.006447310700360864,359.5236985563399,0.0001473240705170579
BTC,5e-07,2022-08-22,0.05017614097140255,0.08267969068280201,415.23988011727295,0.00018870978195001777
BTC,1e-06,2022-08-08,0.054459079387067955,0.03647070985482548,373.7229430693456,0.00011121469630527674
BTC,1e-06,2022-08-09,0.05522453668833793,0.10343990428470473,237.3382947450664,8.072079476506339e-05
BTC,1e-06,2022-08-10,0.056548926872168614,0.0753679460970631,698.7335556092322,0.0002142895166666632
BTC,1e-06,2022-08-11,0.06180364316490927,0.06801606562934248,291.7508202397279,9.85547523006438e-05
BTC,1e-06,2022-08-12,0.0651656689883896,0.0683149261553645,273.6317512744979,9.181430468641425e-05
BTC,1e-06,2022-08-13,0.07468900023502067,0.060367885319338566,236.77791399587812,8.640783012047784e-05
BTC,1e-06,2022-08-14,0.07922859595159815,0.11131408075050131,385.5525708863172,0.00015544058079466604
BTC,1e-06,2022-08-15,0.07813718883878684,0.044048045647916534,377.7211674544923,0.00011876613426779955
BTC,1e-06,2022-08-16,0.07341784974234478,0.06958707745430026,354.70119463369423,0.00010747365866623445
BTC,1e-06,2022-08-17,0.07796565395719979,0.15406848690424757,762.3850662515863,0.00030006153693577553
BTC,1e-06,2022-08-18,0.07837892919044731,0.07809528906941221,335.0736505220087,0.00011965484190618877
BTC,1e-06,2022-08-19,0.07989712219809486,-0.029188524033399554,295.220180715815,8.838146368986003e-05
BTC,1e-06,2022-08-20,0.04937474513969786,0.07585585381840143,418.7918428485604,0.0001886093940418248
BTC,1e-06,2022-08-21,0.050983318286141444,-0.006447310700360864,359.5236985563399,0.0001473240705170579
BTC,1e-06,2022-08-22,0.05017614097140255,0.08267969068280201,415.23988011727295,0.00018870978195001777
BTC,2e-06,2022-08-08,0.054459079387067955,0.03647070985482548,373.7229430693456,0.00011121469630527674
BTC,2e-06,2022-08-09,0.05522453668833793,0.10343990428470473,237.3382947450664,8.072079476506339e-05
BTC,2e-06,2022-08-10,0.056548926872168614,0.0753679460970631,698.7335556092322,0.0002142895166666632
BTC,2e-06,2022-08-11,0.06180364316490927,0.06801606562934248,291.7508202397279,9.85547523006438e-05
BTC,2e-06,2022-08-12,0.0651656689883896,0.0683149261553645,273.6317512744979,9.181430468641425e-05
BTC,2e-06,2022-08-13,0.07468900023502067,0.060367885319338566,236.77791399587812,8.640783012047784e-05
BTC,2e-06,2022-08-14,0.07922859595159815,0.11131408075050131,385.5525708863172,0.00015544058079466604
BTC,2e-06,2022-08-15,0.07813718883878684,0.044048045647916534,377.7211674544923,0.00011876613426779955
BTC,2e-06,2022-08-16,0.07341784974234478,0.06958707745430026,354.70119463369423,0.00010747365866623445
BTC,2e-06,2022-08-17,0.07796407547068152,0.15427296350160358,762.3850662515863,0.00030006153693577553
BTC,2e-06,2022-08-18,0.07837892919044731,0.07809528906941221,335.0736505220087,0.00011965484190618877
BTC,2e-06,2022-08-19,0.07989712219809486,-0.029188524033399554,295.220180715815,8.838146368986003e-05
BTC,2e-06,2022-08-20,0.04937474513969786,0.07585585381840143,418.7918428485604,0.0001886093940418248
BTC,2e-06,2022-08-21,0.050983318286141444,-0.006447310700360864,359.5236985563399,0.0001473240705170579
BTC,2e-06,2022-08-22,0.05017614097140255,0.08267969068280201,415.23988011727295,0.00018870978195001777
BTC,5e-06,2022-08-08,0.054354286493804804,0.03519559142135753,355.5532720483079,9.875504426921851e-05
BTC,5e-06,2022-08-09,0.05504403425840898,0.09880164620708676,225.14083859667244,7.124202503399143e-05
BTC,5e-06,2022-08-10,0.056504322469866586,0.07516419150308284,692.3861317818147,0.00021365376570291327
BTC,5e-06,2022-08-11,0.06180364316490927,0.06801606562934248,291.7508202397279,9.85547523006438e-05
BTC,5e-06,2022-08-12,0.06498878391162588,0.07386427732499012,264.01913046503523,8.684085619003127e-05
BTC,5e-06,2022-08-13,0.07445248500576895,0.058426355923665296,226.49621197674884,7.599966387274167e-05
BTC,5e-06,2022-08-14,0.07903253937612897,0.1125566414469692,416.301185500193,0.00014760274407902478
BTC,5e-06,2022-08-15,0.07813718883878684,0.044048045647916534,377.7211674544923,0.00011876613426779955
BTC,5e-06,2022-08-16,0.07341784974234478,0.06958707745430026,354.70119463369423,0.00010747365866623445
BTC,5e-06,2022-08-17,0.07796407547068152,0.15427296350160358,762.3850662515863,0.00030006153693577553
BTC,5e-06,2022-08-18,0.07837892919044731,0.07809528906941221,335.0736505220087,0.00011965484190618877
BTC,5e-06,2022-08-19,0.07989712219809486,-0.029188524033399554,295.220180715815,8.838146368986003e-05
BTC,5e-06,2022-08-20,0.049292120665701655,0.07754864685975382,424.19304089032494,0.00018439774810818327
BTC,5e-06,2022-08-21,0.05085729606810274,-0.005688612089103096,366.1291014030943,0.00014761090998115548
BTC,5e-06,2022-08-22,0.05004681520417842,0.08560280951928112,441.97439720041973,0.00019046991998808113
BTC,1e-05,2022-08-08,0.054354286493804804,0.03519559142135753,355.5532720483079,9.875504426921851e-05
BTC,1e-05,2022-08-09,0.05504403425840898,0.09880164620708676,225.14083859667244,7.124202503399143e-05
BTC,1e-05,2022-08-10,0.05648913387325849,0.07566947639114485,692.3861317818147,0.00021365376570291327
BTC,1e-05,2022-08-11,0.06180364316490927,0.06801606562934248,291.7508202397279,9.85547523006438e-05
BTC,1e-05,2022-08-12,0.06498878391162588,0.07386427732499012,264.01913046503523,8.684085619003127e-05
BTC,1e-05,2022-08-13,0.07445248500576895,0.058426355923665296,226.49621197674884,7.599966387274167e-05
BTC,1e-05,2022-08-14,0.07903253937612897,0.1125566414469692,416.301185500193,0.00014760274407902478
BTC,1e-05,2022-08-15,0.07813718883878684,0.044048045647916534,377.7211674544923,0.00011876613426779955
BTC,1e-05,2022-08-16,0.07335717973586264,0.07037067247627715,364.8187307117079,0.00011258569671010425
BTC,1e-05,2022-08-17,0.07796407547068152,0.15427296350160358,762.3850662515863,0.00030006153693577553
BTC,1e-05,2022-08-18,0.07837892919044731,0.07809528906941221,335.0736505220087,0.00011965484190618877
BTC,1e-05,2022-08-19,0.07989712219809486,-0.029188524033399554,295.220180715815,8.838146368986003e-05
BTC,1e-05,2022-08-20,0.049292120665701655,0.07754864685975382,424.19304089032494,0.00018439774810818327
BTC,1e-05,2022-08-21,0.05085729606810274,-0.005688612089103096,366.1291014030943,0.00014761090998115548
BTC,1e-05,2022-08-22,0.05004681520417842,0.08560280951928112,441.97439720041973,0.00019046991998808113
BTC,2e-05,2022-08-08,0.05409269717620935,0.03321856258894773,401.3137536486744,0.00013375335886205543
BTC,2e-05,2022-08-09,0.05489382064974613,0.10597380834953007,207.2569565320126,6.908087967971188e-05
BTC,2e-05,2022-08-10,0.05648913387325849,0.07566947639114485,692.3861317818147,0.00021365376570291327
BTC,2e-05,2022-08-11,0.06176240900702845,0.06806818885696819,287.9361788382018,9.927848033514939e-05
BTC,2e-05,2022-08-12,0.0648582066381097,0.07351733775420521,265.44024931878016,9.280266285203331e-05
BTC,2e-05,2022-08-13,0.07437393987959717,0.056143418779330045,220.1417327059585,6.836232400791913e-05
BTC,2e-05,2022-08-14,0.07891244265107433,0.11216963090541665,428.8272542999805,0.00014292198848535974
BTC,2e-05,2022-08-15,0.07767723478283384,0.04202188016417785,407.19581531249105,0.0001241296555598143
BTC,2e-05,2022-08-16,0.07310327980160991,0.07033446882469108,379.74261768583983,0.0001103781111665611
BTC,2e-05,2022-08-17,0.0777486295795613,0.15424237258915996,758.311033119009,0.0002787131183405502
BTC,2e-05,2022-08-18,0.07830718173245033,0.07775663116382925,339.61258630216486,0.0001221478789011151
